week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,rushing_yds,rushing_tds,rushing_twoptm,receiving_tds,receiving_rec,receiving_yds,fumbles_lost,receiving_twoptm,passing_yds,passing_tds,passing_twoptm,passing_ints,defense_fgblk,defense_puntblk
11.0,CHI,K,C.Barth,,,,,,,,,,0.0,23.0,3.0,,,,,,,,,,,,,,
11.0,CHI,DEF,I.Irving,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,DET,RB,J.Agnew,,,,,,,,,,0.0,,,5.0,0.0,0.0,,,,0.0,,,,,,,
11.0,CHI,CB,K.Fuller,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,DET,TE,E.Ebron,,,,,,,,,,0.0,,,,,,0.0,4.0,49.0,,0.0,,,,,,
11.0,DET,QB,M.Stafford,,,,,,,,,,0.0,,,3.0,0.0,0.0,,,,1.0,,299.0,2.0,0.0,0.0,,
11.0,CHI,ILB,C.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,DET,WR,M.Jones,,,,,,,,,,0.0,,,,,,1.0,4.0,85.0,,0.0,,,,,,
11.0,CHI,DB,P.Amukamara,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CHI,DE,M.Unrein,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,DET,RB,A.Abdullah,,,,,,,,,,0.0,,,22.0,0.0,0.0,1.0,2.0,13.0,,0.0,,,,,,
11.0,CHI,DE,A.Hicks,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,
11.0,CHI,NT,E.Goldman,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CHI,DEF,E.Jackson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,DET,C,G.Glasgow,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CHI,ILB,N.Kwiatkoski,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CHI,CB,S.McManis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CHI,OLB,L.Floyd,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CHI,FS,A.Amos,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,DET,,T.Jones,,,,,,,,,,0.0,,,,,,0.0,4.0,55.0,,0.0,,,,,,
11.0,CHI,OLB,S.Acho,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CHI,OT,K.Long,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,DET,CB,D.Hayden,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,
11.0,DET,CB,Q.Diggs,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,DET,DT,A.Robinson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,DET,SS,M.Killebrew,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,DET,DB,T.Wilson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
