week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,receiving_rec,rushing_yds,receiving_yds,receiving_tds,rushing_tds,receiving_twoptm,rushing_twoptm,kicking_xpmade,fumbles_lost,passing_yds,passing_tds,passing_twoptm,passing_ints,kicking_fgm_yds,defense_fgblk,defense_safe
5.0,TB,WR,A.Humphries,,,,,,,,,,0.0,3.0,,51.0,0.0,,0.0,,,,,,,,,,
5.0,NE,DEF,D.Wise,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,TB,WR,C.Godwin,,,,,,,,,,0.0,1.0,,8.0,0.0,,0.0,,,,,,,,,,
5.0,TB,DE,C.Baker,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,TB,,R.Russell,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,TB,CB,R.Smith,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,TB,DB,B.Grimes,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NE,DB,N.Ebner,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NE,SS,J.Richards,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NE,ILB,E.Roberts,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NE,FB,J.Develin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NE,WR,J.Hollister,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NE,DT,M.Brown,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NE,OG,J.Thuney,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,TB,DE,W.Clarke,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,
5.0,TB,OG,E.Smith,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,TB,T,D.Dotson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NE,CB,J.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,BUF,QB,J.Webb,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,WR,A.Erickson,,,,,,,,,,0.0,1.0,-6.0,12.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,
5.0,BUF,K,S.Hauschka,,,,,,,,,,0.0,,,,,,,,1.0,,,,,,97.0,,
5.0,BUF,DEF,T.Elston,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,QB,A.Dalton,,,,,,,,,,0.0,,2.0,,,0.0,,0.0,,,328.0,1.0,0.0,2.0,,,
5.0,CIN,WR,A.Green,,,,,,,,,,0.0,7.0,,189.0,1.0,,0.0,,,1.0,,,,,,,
5.0,BUF,DEF,T.White,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,BUF,CB,S.Wright,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,RB,J.Hill,,,,,,,,,,0.0,,16.0,,,0.0,,0.0,,,,,,,,,
5.0,CIN,P,K.Huber,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
