week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,rushing_yds,rushing_twoptm,rushing_tds,fumbles_lost,receiving_yds,receiving_rec,receiving_tds,receiving_twoptm,passing_yds,passing_tds,passing_twoptm,passing_ints,defense_puntblk,defense_fgblk
6.0,CAR,WR,C.McCaffrey,,,,,,,,,,0.0,,,8.0,0.0,0.0,0.0,56.0,10.0,1.0,0.0,,,,,,
6.0,PHI,FS,J.Mills,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,DB,R.McLeod,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,ILB,M.Kendricks,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CAR,RB,C.Samuel,,,,,,,,,,0.0,,,8.0,0.0,0.0,,,,,,,,,,,
6.0,CAR,TE,E.Dickson,,,,,,,,,,0.0,,,,,,,36.0,4.0,0.0,0.0,,,,,,
6.0,PHI,FS,M.Jenkins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CAR,RB,F.Whittaker,,,,,,,,,,0.0,,,-3.0,0.0,0.0,,,,,,,,,,,
6.0,CAR,CB,K.Seymour,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,OLB,K.Grugier-Hill,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,P,D.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,NT,B.Allen,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,DE,C.Long,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,DE,T.Jernigan,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,RB,C.Clement,,,,,,,,,,0.0,,,2.0,0.0,0.0,,,,,,,,,,,
6.0,CAR,OLB,T.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,FS,C.Maragos,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,DE,V.Curry,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CAR,DE,Ch.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CAR,FS,J.Byrd,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,TE,Z.Ertz,,,,,,,,,,0.0,,,,,,,18.0,2.0,2.0,0.0,,,,,,
6.0,PHI,DEF,R.Douglas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CAR,WR,D.Funchess,,,,,,,,,,0.0,,,,,,,36.0,3.0,0.0,0.0,,,,,,
6.0,CAR,DT,S.Lotulelei,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,,N.Goode,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CAR,WR,R.Shepard,,,,,,,,,,0.0,,,,,,,12.0,2.0,0.0,0.0,,,,,,
6.0,PHI,OLB,B.Graham,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,FS,C.Graham,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CAR,LB,D.Mayo,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,WR,M.Hollins,,,,,,,,,,0.0,,,,,,,38.0,2.0,0.0,0.0,,,,,,
6.0,CAR,DB,C.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,DEF,D.Barnett,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,C,S.Wisniewski,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,DEF,J.Hamilton,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,ILB,J.Walker,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,,R.Lovato,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,,C.Parkey,,,,,,,,,,0.0,87.0,2.0,,,,,,,,,,,,,,
6.0,MIA,ILB,L.Timmons,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,ATL,TE,A.Hooper,,,,,,,,,,0.0,,,,,,,48.0,7.0,0.0,0.0,,,,,,
6.0,ATL,QB,M.Ryan,,,,,,,,,,0.0,,,,,,,,,,,248.0,1.0,0.0,1.0,,
6.0,MIA,DT,N.Suh,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,ATL,RB,D.Freeman,,,,,,,,,,0.0,,,68.0,0.0,0.0,,11.0,2.0,0.0,0.0,,,,,,
6.0,MIA,DT,J.Phillips,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,LB,K.Alonso,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
