week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,passing_yds,rushing_yds,passing_tds,passing_twoptm,rushing_tds,fumbles_lost,passing_ints,rushing_twoptm,receiving_yds,receiving_rec,receiving_tds,receiving_twoptm,defense_safe,defense_xpblk,defense_puntblk
10.0,BUF,DT,K.Williams,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,
10.0,NO,RB,M.Ingram,,,,,,,,,,0.0,,,,131.0,,,3.0,,,0.0,,,,,,,
10.0,BUF,SS,M.Hyde,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,DEF,T.White,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,NO,WR,T.Ginn,,,,,,,,,,0.0,,,,,,,,,,,3.0,1.0,0.0,0.0,,,
10.0,BUF,,L.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,DT,J.Worthy,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,MLB,P.Brown,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,TE,N.O'Leary,,,,,,,,,,0.0,,,,,,,,,,,7.0,1.0,1.0,0.0,,,
10.0,NO,OLB,A.Okafor,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,P,C.Schmidt,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,,D.Lacey,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,LB,R.Humber,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,LB,L.Alexander,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,DE,S.Lawson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,NO,WR,B.Coleman,,,,,,,,,,0.0,,,,,,,,,,,30.0,1.0,0.0,0.0,,,
10.0,NO,TE,C.Fleener,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,NO,TE,J.Hill,,,,,,,,,,0.0,,,,,,,,1.0,,,-2.0,1.0,0.0,0.0,,,
10.0,NO,DEF,T.Hendrickson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,WR,D.Thompson,,,,,,,,,,0.0,,,,-5.0,,,0.0,,,0.0,10.0,1.0,0.0,0.0,,,
10.0,NO,LB,C.Robertson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,CB,S.Wright,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,NO,RB,D.Lasco,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
