week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_xpmade,rushing_tds,receiving_rec,rushing_yds,receiving_yds,receiving_tds,receiving_twoptm,rushing_twoptm,fumbles_lost,passing_yds,passing_tds,passing_twoptm,passing_ints,kicking_fgm_yds,defense_puntblk,defense_safe,defense_fgblk
9.0,NYJ,LB,D.Davis,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,
9.0,NYJ,CB,D.Roberts,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,WR,A.Holmes,,,,,,,,,,0.0,,,1.0,,16.0,0.0,0.0,,,,,,,,,,
9.0,BUF,FS,J.Poyer,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,NYJ,TE,A.Seferian-Jenkins,,,,,,,,,,0.0,,,2.0,,20.0,0.0,0.0,,,,,,,,,,
9.0,NYJ,WR,E.Tomlinson,,,,,,,,,,0.0,,,1.0,,6.0,0.0,0.0,,,,,,,,,,
9.0,BUF,,R.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,NYJ,OLB,D.Bass,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,NYJ,DE,M.Wilkerson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,NYJ,LB,B.Carter,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,NYJ,DE,M.Pennel,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,,L.Thomas,,,,,,,,,,0.0,,,2.0,,25.0,0.0,0.0,,,,,,,,,,
9.0,NYJ,CB,J.Burris,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,
9.0,BUF,DT,C.Thornton,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,NYJ,T,B.Qvale,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,DEF,T.Vallejo,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,TE,N.O'Leary,,,,,,,,,,0.0,,,4.0,,51.0,0.0,0.0,,1.0,,,,,,,,
9.0,BUF,FB,P.DiMarco,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,NYJ,SS,R.Miles,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,DE,J.Hughes,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,NYJ,DE,K.Ealy,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,QB,J.Webb,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CAR,K,G.Gano,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,76.0,,,
9.0,ATL,WR,Ju.Jones,,,,,,,,,,0.0,,,6.0,,118.0,0.0,0.0,,,,,,,,,,
9.0,CAR,CB,J.Bradberry,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,QB,M.Ryan,,,,,,,,,,0.0,,0.0,,-1.0,,,,0.0,,313.0,2.0,0.0,1.0,,,,
9.0,ATL,OG,W.Schweitzer,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CAR,DE,M.Addison,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,RB,D.Freeman,,,,,,,,,,0.0,,0.0,4.0,46.0,18.0,0.0,0.0,0.0,,,,,,,,,
9.0,ATL,WR,M.Sanu,,,,,,,,,,0.0,,,3.0,,23.0,1.0,0.0,,,,,,,,,,
9.0,CAR,CB,D.Worley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CAR,MLB,L.Kuechly,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,K,M.Bryant,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,53.0,,,
9.0,ATL,P,M.Bosher,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CAR,RB,J.Stewart,,,,,,,,,,0.0,,0.0,,21.0,,,,0.0,2.0,,,,,,,,
9.0,ATL,SS,K.Neal,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,
9.0,ATL,DE,B.Reed,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,CB,R.Alford,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CAR,QB,C.Newton,,,,,,,,,,0.0,,1.0,,86.0,,,,0.0,,137.0,0.0,0.0,0.0,,,,
9.0,CAR,WR,D.Funchess,,,,,,,,,,0.0,,,5.0,,86.0,0.0,0.0,,,,,,,,,,
9.0,ATL,DE,A.Clayborn,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,OLB,D.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,DB,B.Poole,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CAR,,B.Jacobs,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CAR,OLB,S.Thompson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,WR,A.Roberts,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,
9.0,CAR,P,M.Palardy,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,RB,T.Coleman,,,,,,,,,,0.0,,0.0,1.0,5.0,19.0,1.0,0.0,0.0,,,,,,,,,
9.0,CAR,DT,K.Short,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CAR,OLB,T.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,TE,A.Hooper,,,,,,,,,,0.0,,,3.0,,36.0,0.0,0.0,,,,,,,,,,
9.0,ATL,RB,T.Ward,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CAR,WR,K.Clay,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,
9.0,ATL,OLB,D.Campbell,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CAR,RB,C.McCaffrey,,,,,,,,,,0.0,,1.0,5.0,66.0,28.0,0.0,0.0,0.0,,,,,,,,,
9.0,CAR,OG,T.Larsen,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,TE,L.Toilolo,,,,,,,,,,0.0,,,1.0,,8.0,0.0,0.0,,,,,,,,,,
9.0,CAR,FS,K.Coleman,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CAR,WR,C.Samuel,,,,,,,,,,0.0,,0.0,3.0,14.0,23.0,0.0,0.0,0.0,,,,,,,,,
9.0,ATL,DE,D.Shelby,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,CB,D.Trufant,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,
9.0,CAR,TE,E.Dickson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,WR,T.Gabriel,,,,,,,,,,0.0,,0.0,3.0,3.0,56.0,0.0,0.0,0.0,,,,,,,,,
9.0,CAR,DE,Ch.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,LB,L.Reynolds,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,LB,V.Beasley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,DT,A.Rubin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,DT,G.Jarrett,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CAR,WR,R.Shepard,,,,,,,,,,0.0,,0.0,,11.0,,,,0.0,,,,,,,,,
9.0,CAR,CB,K.Seymour,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CAR,SS,M.Adams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CAR,OLB,J.Peppers,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CAR,DT,S.Lotulelei,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,SS,K.Ishmael,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CAR,,G.Van Roten,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,FS,R.Allen,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,WR,T.McKinley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,,D.Coleman,,,,,,,,,,0.0,,,1.0,,9.0,0.0,0.0,,,,,,,,,,
9.0,ATL,DT,C.Upshaw,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CAR,WR,A.Armah,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CAR,,W.Horton,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,WR,J.Hardy,,,,,,,,,,0.0,,,2.0,,26.0,0.0,0.0,,,,,,,,,,
9.0,CAR,CB,C.Munnerlyn,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CAR,RB,C.Artis-Payne,,,,,,,,,,0.0,,0.0,,3.0,,,,0.0,,,,,,,,,
9.0,CAR,,K.Love,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,ATL,NT,D.Poe,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CAR,LB,D.Mayo,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,P,R.Sanchez,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,HOU,RB,L.Miller,,,,,,,,,,0.0,,0.0,3.0,57.0,34.0,0.0,0.0,0.0,,,,,,,,,
9.0,IND,DE,J.Sheard,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,NT,A.Woods,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,HOU,WR,W.Fuller V,,,,,,,,,,0.0,,,2.0,,32.0,0.0,0.0,,,,,,,,,,
9.0,HOU,QB,T.Savage,,,,,,,,,,0.0,,,,,,,,,1.0,219.0,1.0,0.0,0.0,,,,
9.0,IND,,R.Melvin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,HOU,WR,D.Hopkins,,,,,,,,,,0.0,,,6.0,,86.0,1.0,0.0,,,,,,,,,,
9.0,IND,LB,J.Bostic,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,HOU,WR,B.Ellington,,,,,,,,,,0.0,,,3.0,,22.0,0.0,0.0,,,,,,,,,,
9.0,HOU,DB,C.Moore,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,TE,B.Williams,,,,,,,,,,0.0,,,2.0,,20.0,0.0,0.0,,,,,,,,,,
9.0,IND,WR,Q.Bray,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,HOU,P,S.Lechler,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,HOU,ILB,B.McKinney,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,RB,F.Gore,,,,,,,,,,0.0,,0.0,3.0,51.0,26.0,0.0,0.0,0.0,,,,,,,,,
9.0,HOU,,B.Dunn,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,HOU,DEF,C.Watkins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,QB,J.Brissett,,,,,,,,,,0.0,,0.0,,12.0,,,,0.0,1.0,308.0,2.0,0.0,0.0,,,,
