week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,receiving_tds,receiving_rec,receiving_yds,receiving_twoptm,rushing_yds,rushing_tds,rushing_twoptm,passing_yds,passing_tds,passing_twoptm,passing_ints,kicking_fgm_yds,kicking_xpmade,fumbles_lost,defense_puntblk
14.0,BUF,DT,A.Washington,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,DE,J.Hughes,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,MLB,P.Brown,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,DEF,M.Milano,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,IND,RB,M.Mack,,,,,,,,,,0.0,0.0,2.0,21.0,0.0,23.0,0.0,0.0,,,,,,,,
14.0,BUF,SS,M.Hyde,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,IND,K,A.Vinatieri,,,,,,,,,,0.0,,,,,,,,,,,,,1.0,,
14.0,IND,DE,B.Mingo,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,
14.0,IND,SS,C.Geathers,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,IND,DEF,T.Basham,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,IND,DEF,G.Stewart,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,FB,M.Tolbert,,,,,,,,,,0.0,,,,,32.0,0.0,0.0,,,,,,,1.0,
14.0,IND,DT,J.Hankins,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,P,C.Schmidt,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,,R.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,IND,DEF,K.Moore II,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,IND,DEF,Q.Wilson,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,DT,C.Thornton,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,DEF,E.Yarbrough,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,IND,QB,J.Brissett,,,,,,,,,,0.0,,,,,10.0,0.0,0.0,69.0,1.0,0.0,0.0,,,,
14.0,IND,CB,D.Butler,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,IND,DE,J.Sheard,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,K,S.Hauschka,,,,,,,,,,0.0,,,,,,,,,,,,,1.0,,
14.0,IND,RB,J.Ferguson,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,SS,S.Thomas,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,,D.Lacey,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,TE,N.O'Leary,,,,,,,,,,0.0,0.0,1.0,9.0,0.0,,,,,,,,,,,
14.0,IND,TE,B.Williams,,,,,,,,,,0.0,0.0,2.0,8.0,0.0,,,,,,,,,,,
14.0,BUF,LB,L.Alexander,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,IND,TE,J.Doyle,,,,,,,,,,0.0,1.0,2.0,4.0,0.0,,,,,,,,,,,
14.0,BUF,,D.Coleman,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,IND,TE,R.Travis,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,DEF,N.Capi,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,IND,WR,C.Rogers,,,,,,,,,,0.0,0.0,2.0,6.0,0.0,,,,,,,,,,,
14.0,BUF,,V.Ducasse,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,DEF,L.Pitts,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,DEF,T.White,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,IND,WR,T.Hilton,,,,,,,,,,0.0,0.0,2.0,20.0,0.0,,,,,,,,,,,
14.0,IND,WR,K.Aiken,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,IND,DT,A.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,IND,DEF,J.Vander Laan,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,WR,D.Thompson,,,,,,,,,,0.0,0.0,1.0,34.0,0.0,,,,,,,,,,,
14.0,CAR,K,G.Gano,,,,,,,,,,0.0,,,,,,,,,,,,41.0,4.0,,
14.0,CAR,CB,D.Worley,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,MIN,RB,L.Murray,,,,,,,,,,0.0,0.0,2.0,6.0,0.0,14.0,0.0,0.0,,,,,,,,
14.0,CAR,OLB,J.Peppers,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,MIN,QB,C.Keenum,,,,,,,,,,0.0,,,,,40.0,0.0,0.0,280.0,2.0,1.0,2.0,,,1.0,
14.0,MIN,WR,A.Thielen,,,,,,,,,,0.0,1.0,6.0,105.0,0.0,,,,,,,,,,,
14.0,CAR,MLB,L.Kuechly,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,DE,M.Addison,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,MIN,RB,J.McKinnon,,,,,,,,,,0.0,0.0,2.0,9.0,0.0,46.0,0.0,0.0,,,,,,,,
14.0,CAR,,K.Love,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,QB,C.Newton,,,,,,,,,,0.0,,,,,70.0,0.0,0.0,137.0,1.0,0.0,1.0,,,,
14.0,MIN,DE,D.Hunter,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,MIN,CB,T.Waynes,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,WR,D.Byrd,,,,,,,,,,0.0,0.0,5.0,37.0,0.0,,,,,,,,,,,
14.0,CAR,RB,J.Stewart,,,,,,,,,,0.0,,,,,103.0,3.0,0.0,,,,,,,,
14.0,CAR,P,M.Palardy,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,MIN,WR,S.Diggs,,,,,,,,,,0.0,0.0,6.0,64.0,0.0,,,,,,,,,,,
14.0,CAR,DT,K.Short,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,DB,C.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,DT,V.Butler,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,MIN,TE,K.Rudolph,,,,,,,,,,0.0,1.0,3.0,41.0,0.0,,,,,,,,,,,
14.0,MIN,,K.Forbath,,,,,,,,,,0.0,,,,,,,,,,,,79.0,1.0,,
14.0,MIN,OLB,K.Brothers,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,MIN,DEF,E.Wilson,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,RB,C.Artis-Payne,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,MIN,DT,T.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,WR,B.Bersin,,,,,,,,,,0.0,0.0,1.0,17.0,0.0,,,,,,,,,,,
14.0,MIN,SS,A.Sendejo,,,,,,,,,,0.0,,,,,,,,,,,,,,,
