week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,passing_yds,passing_twoptm,passing_ints,passing_tds,receiving_rec,receiving_yds,receiving_tds,receiving_twoptm,rushing_yds,rushing_tds,rushing_twoptm,fumbles_lost,kicking_xpmade,kicking_fgm_yds,defense_fgblk,defense_xpblk,defense_puntblk,fumbles_rec_tds
15.0,DEN,WR,G.Bolles,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DEN,TE,V.Green,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DEN,OT,D.Stephenson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DEN,WR,M.Rios,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DEN,DEF,J.Carter,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DEN,DE,Z.Kerr,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DEN,WR,B.Fowler,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,IND,RB,J.Ferguson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,IND,DEF,A.Walker,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DEN,TE,J.Heuerman,,,,,,,,,,0.0,,,,,1.0,54.0,1.0,0.0,,,,,,,,,,
15.0,DEN,FS,B.Roby,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DEN,OG,C.McGovern,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,IND,WR,K.Aiken,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,IND,DT,H.Ridgeway,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,IND,,J.Mbu,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,K,M.Nugent,,,,,,,,,,0.0,,,,,,,,,,,,,1.0,41.0,,,,
15.0,CHI,DB,M.Cooper Sr.,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DET,RB,A.Abdullah,,,,,,,,,,0.0,,,,,3.0,13.0,0.0,0.0,8.0,0.0,0.0,,,,,,,
15.0,DET,RB,T.Riddick,,,,,,,,,,0.0,,,,,3.0,12.0,0.0,0.0,49.0,0.0,0.0,1.0,,,,,,
15.0,CHI,NT,E.Goldman,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,SS,C.Prosinski,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DET,WR,M.Jones,,,,,,,,,,0.0,,,,,3.0,85.0,0.0,0.0,,,,,,,,,,
15.0,DET,QB,M.Stafford,,,,,,,,,,0.0,237.0,0.0,0.0,2.0,,,,,-1.0,0.0,0.0,,,,,,,
15.0,CHI,DB,P.Amukamara,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,DE,A.Hicks,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DET,TE,E.Ebron,,,,,,,,,,0.0,,,,,5.0,33.0,1.0,0.0,,,,,,,,,,
15.0,CHI,LB,D.Trevathan,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,ILB,N.Kwiatkoski,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,OLB,P.McPhee,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DET,K,M.Prater,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,79.0,,,,
15.0,DET,DEF,J.Reeves-Maybin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,WR,T.Cohen,,,,,,,,,,0.0,,,,,4.0,16.0,0.0,0.0,1.0,0.0,0.0,,,,,,,
15.0,DET,P,S.Martin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
