week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,rushing_yds,rushing_tds,rushing_twoptm,receiving_tds,receiving_rec,receiving_yds,receiving_twoptm,kicking_xpmade,passing_yds,passing_twoptm,passing_ints,passing_tds,fumbles_lost,kicking_fgm_yds,defense_puntblk,defense_safe,defense_fgblk
1.0,NYJ,DEF,C.Pelon,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,DE,M.Pennel,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,LB,J.Martin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,DE,M.Wilkerson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BUF,C,E.Wood,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,CB,J.Burris,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BUF,CB,E.Gaines,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,QB,J.McCown,,,,,,,,,,0.0,0.0,1.0,0.0,,,,,,187.0,0.0,2.0,0.0,,,,,
1.0,NYJ,WR,R.Anderson,,,,,,,,,,0.0,,,,0.0,4.0,22.0,0.0,,,,,,,,,,
1.0,BUF,LB,R.Humber,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,RB,M.Forte,,,,,,,,,,0.0,16.0,0.0,0.0,0.0,3.0,20.0,0.0,,,,,,,,,,
1.0,BUF,DE,S.Lawson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,WR,A.Stewart,,,,,,,,,,0.0,,,,0.0,2.0,10.0,0.0,,,,,,,,,,
1.0,BUF,DE,J.Hughes,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,P,L.Edwards,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BUF,WR,B.Tate,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,LB,J.Stanford,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,CB,M.Claiborne,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,OLB,J.Jenkins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,DT,L.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BUF,P,C.Schmidt,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,WR,K.Raymond,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,
1.0,NYJ,WR,J.Kearse,,,,,,,,,,0.0,,,,0.0,7.0,59.0,0.0,,,,,,,,,,
1.0,NYJ,WR,E.Tomlinson,,,,,,,,,,0.0,,,,0.0,2.0,25.0,0.0,,,,,,,,,,
1.0,BUF,FS,J.Poyer,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BUF,MLB,P.Brown,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BUF,,L.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BUF,DEF,M.Milano,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BUF,WR,J.Matthews,,,,,,,,,,0.0,,,,0.0,2.0,61.0,0.0,,,,,,,,,,
1.0,NYJ,DB,T.Brooks,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BUF,FB,P.DiMarco,,,,,,,,,,0.0,,,,0.0,1.0,5.0,0.0,,,,,,,,,,
1.0,BUF,K,S.Hauschka,,,,,,,,,,0.0,,,,,,,,3.0,,,,,,,,,
1.0,BUF,SS,M.Hyde,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BUF,DEF,T.White,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BUF,LB,L.Alexander,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BUF,OT,J.Mills,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,DEF,D.Donahue,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,RB,B.Powell,,,,,,,,,,0.0,22.0,0.0,0.0,0.0,5.0,17.0,0.0,,,,,,,,,,
1.0,BUF,DT,A.Washington,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,TE,W.Tye,,,,,,,,,,0.0,,,,0.0,3.0,34.0,0.0,,,,,,,,,,
1.0,NYJ,DB,B.Skrine,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BUF,DB,C.Anderson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BUF,DEF,E.Yarbrough,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BUF,RB,T.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BUF,DT,K.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,OLB,E.Robinson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BUF,WR,A.Holmes,,,,,,,,,,0.0,,,,1.0,1.0,1.0,0.0,,,,,,,,,,
1.0,BUF,,D.Lacey,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,G,B.Winters,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,CB,M.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,DEF,C.Hansen,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,ATL,WR,A.Roberts,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,ATL,SS,K.Ishmael,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,CB,C.LeBlanc,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,K,C.Barth,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,54.0,,,
1.0,ATL,RB,D.Freeman,,,,,,,,,,0.0,37.0,1.0,0.0,0.0,2.0,2.0,0.0,,,,,,,,,,
1.0,CHI,LB,J.Freeman,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,CB,K.Fuller,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,ATL,WR,M.Sanu,,,,,,,,,,0.0,,,,0.0,6.0,47.0,0.0,,,,,,,,,,
1.0,ATL,QB,M.Ryan,,,,,,,,,,0.0,11.0,0.0,0.0,,,,,,321.0,0.0,0.0,1.0,,,,,
1.0,CHI,DB,M.Cooper,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,ATL,WR,Ju.Jones,,,,,,,,,,0.0,,,,0.0,4.0,66.0,0.0,,,,,,,,,,
1.0,ATL,WR,T.Gabriel,,,,,,,,,,0.0,,,,0.0,3.0,36.0,0.0,,,,,,,,,,
1.0,ATL,RB,T.Coleman,,,,,,,,,,0.0,16.0,0.0,0.0,0.0,4.0,42.0,0.0,,,,,,,,,,
1.0,CHI,SS,Q.Demps,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,OLB,W.Young,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,OLB,L.Floyd,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,DE,M.Unrein,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,ATL,K,M.Bryant,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,113.0,,,
1.0,ATL,,D.Coleman,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,RB,B.Cunningham,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,ATL,P,M.Bosher,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,ATL,OLB,D.Campbell,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,RB,Jo.Howard,,,,,,,,,,0.0,52.0,1.0,0.0,0.0,3.0,14.0,0.0,,,,,,,,,,
1.0,CHI,OG,C.Whitehair,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,QB,M.Glennon,,,,,,,,,,0.0,,,,,,,,,213.0,0.0,0.0,1.0,0.0,,,,
1.0,CHI,WR,T.Cohen,,,,,,,,,,0.0,66.0,0.0,0.0,1.0,8.0,47.0,0.0,,,,,,,,,,
1.0,ATL,DEF,D.Riley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,ATL,DB,B.Poole,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,TE,Z.Miller,,,,,,,,,,0.0,,,,0.0,4.0,39.0,0.0,,,,,,,,,,
1.0,ATL,SS,K.Neal,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,ILB,C.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,P,P.O'Donnell,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,LB,D.Trevathan,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,ATL,DEF,E.Saubert,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,ATL,FS,R.Allen,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,ATL,OLB,D.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,WR,D.Thompson,,,,,,,,,,0.0,,,,0.0,1.0,15.0,0.0,,,,,,0.0,,,,
1.0,ATL,CB,R.Alford,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,ATL,LB,V.Beasley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,WR,K.White,,,,,,,,,,0.0,,,,0.0,2.0,6.0,0.0,,,,,,,,,,
1.0,CHI,OLB,S.Acho,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,WR,R.Robertson-Harris,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,
1.0,ATL,LS,J.Harris,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,ATL,CB,C.Goodwin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,ATL,DE,B.Reed,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,ILB,N.Kwiatkoski,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,DEF,E.Jackson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,NT,E.Goldman,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,DE,A.Hicks,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,ATL,T,J.Matthews,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,ATL,CB,D.Trufant,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,ATL,DE,A.Clayborn,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,FB,M.Burton,,,,,,,,,,0.0,7.0,0.0,0.0,,,,,,,,,,,,,,
1.0,ATL,DEF,D.Kazee,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,CB,B.Callahan,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,ATL,G,A.Levitre,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,ATL,DEF,T.McKinley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,TE,D.Sims,,,,,,,,,,0.0,,,,0.0,2.0,31.0,0.0,,,,,,,,,,
1.0,ATL,DE,J.Crawford,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,ATL,TE,A.Hooper,,,,,,,,,,0.0,,,,1.0,2.0,128.0,0.0,,,,,,,,,,
1.0,CHI,WR,K.Wright,,,,,,,,,,0.0,,,,0.0,3.0,34.0,0.0,,,,,,,,,,
1.0,ATL,NT,D.Poe,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CHI,WR,J.Bellamy,,,,,,,,,,0.0,,,,0.0,3.0,27.0,0.0,,,,,,,,,,
1.0,ATL,TE,L.Toilolo,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BAL,K,J.Tucker,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,50.0,,,
1.0,CIN,WR,B.LaFell,,,,,,,,,,0.0,,,,0.0,3.0,24.0,0.0,,,,,,,,,,
1.0,CIN,QB,A.Dalton,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,,170.0,0.0,4.0,0.0,1.0,,,,
1.0,BAL,ILB,C.Mosley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,CIN,TE,T.Kroft,,,,,,,,,,0.0,,,,0.0,1.0,5.0,0.0,,,,,,,,,,
1.0,CIN,RB,J.Hill,,,,,,,,,,0.0,26.0,0.0,0.0,0.0,1.0,-2.0,0.0,,,,,,,,,,
1.0,BAL,SS,T.Jefferson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BAL,OLB,T.Suggs,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
