week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,passing_yds,passing_twoptm,passing_ints,passing_tds,receiving_rec,receiving_yds,receiving_tds,receiving_twoptm,rushing_yds,rushing_tds,rushing_twoptm,fumbles_lost,defense_fgblk,fumbles_rec_tds,defense_xpblk,defense_puntblk,defense_safe
8.0,BAL,CB,B.Carr,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BAL,ILB,C.Mosley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIA,,C.Parkey,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
8.0,MIA,DEF,C.Allen,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BAL,QB,R.Mallett,,,,,,,,,,0.0,,,20.0,0.0,0.0,1.0,,,,,-3.0,0.0,0.0,0.0,,,,,
8.0,BAL,LB,Z.Smith,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIA,LB,M.Hull,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BAL,RB,B.Rainey,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BAL,WR,B.Perriman,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIA,DEF,V.Taylor,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,
8.0,MIA,FS,W.Aikens,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BAL,DT,W.Henry,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BAL,WR,C.Moore,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,1.0,,,
8.0,CLE,K,Z.Gonzalez,,,,,,,,,,0.0,23.0,1.0,,,,,,,,,,,,,,,,,
8.0,CLE,OLB,J.Collins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,RB,L.Murray,,,,,,,,,,0.0,,,,,,,1.0,8.0,0.0,0.0,39.0,0.0,0.0,,,,,,
8.0,MIN,QB,C.Keenum,,,,,,,,,,0.0,,,288.0,0.0,1.0,2.0,,,,,,,,,,,,,
8.0,MIN,TE,D.Morgan,,,,,,,,,,0.0,,,,,,,3.0,28.0,0.0,0.0,,,,,,,,,
8.0,CLE,DB,J.Taylor,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,WR,S.Diggs,,,,,,,,,,0.0,,,,,,,4.0,27.0,0.0,0.0,-1.0,0.0,0.0,,,,,,
8.0,CLE,DL,D.Shelton,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,TE,K.Rudolph,,,,,,,,,,0.0,,,,,,,6.0,27.0,1.0,0.0,,,,,,,,,
8.0,CLE,ILB,C.Kirksey,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,CLE,OLB,J.Schobert,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,WR,L.Treadwell,,,,,,,,,,0.0,,,,,,,1.0,21.0,0.0,0.0,,,,0.0,,,,,
8.0,CLE,DE,C.Nassib,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,FS,H.Smith,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,CLE,WR,D.Njoku,,,,,,,,,,0.0,,,,,,,2.0,19.0,0.0,0.0,,,,,,,,,
8.0,CLE,QB,D.Kizer,,,,,,,,,,0.0,,,179.0,0.0,0.0,0.0,,,,,18.0,1.0,0.0,,,,,,
8.0,CLE,RB,I.Crowell,,,,,,,,,,0.0,,,,,,,4.0,54.0,0.0,0.0,64.0,1.0,0.0,1.0,,,,,
8.0,CLE,CB,B.Boddy-Calhoun,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,WR,M.Floyd,,,,,,,,,,0.0,,,,,,,1.0,7.0,0.0,0.0,,,,,,,,,
8.0,MIN,WR,J.Wright,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,,R.Quigley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,CLE,WR,B.Treggs,,,,,,,,,,0.0,,,,,,,1.0,12.0,0.0,0.0,,,,1.0,,,,,
8.0,MIN,LB,E.Lamur,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,
8.0,MIN,WR,E.Wilson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,RB,J.McKinnon,,,,,,,,,,0.0,,,,,,,6.0,72.0,0.0,0.0,50.0,1.0,1.0,,,,,,
8.0,MIN,WR,A.Thielen,,,,,,,,,,0.0,,,,,,,5.0,98.0,1.0,0.0,,,,,,,,,
8.0,CLE,DEF,J.Burgess,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,,K.Forbath,,,,,,,,,,0.0,163.0,1.0,,,,,,,,,,,,,,,,,
8.0,MIN,SS,A.Harris,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,
8.0,CLE,RB,D.Johnson,,,,,,,,,,0.0,,,,,,,4.0,10.0,0.0,0.0,33.0,0.0,0.0,,,,,,
8.0,MIN,CB,X.Rhodes,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,MLB,E.Kendricks,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,CLE,WR,R.Louis,,,,,,,,,,0.0,,,,,,,2.0,42.0,0.0,0.0,,,,,,,,,
8.0,MIN,WR,S.Coley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,CLE,P,B.Colquitt,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,CLE,FS,D.Kindred,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,CLE,DB,I.Campbell,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,WR,R.Hill,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,CLE,LB,E.Ogbah,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1.0,,
8.0,MIN,CB,T.Waynes,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,DEF,B.Gedeon,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,DE,E.Griffen,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,CB,M.Sherels,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,CLE,DEF,M.Jordan,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,WR,D.Isidora,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,CLE,DEF,C.Brantley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,CLE,WR,M.Dayes,,,,,,,,,,0.0,,,,,,,1.0,15.0,0.0,0.0,,,,,,,,,
8.0,MIN,DT,T.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,SAF,J.Kearse,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,CLE,WR,S.Coates,,,,,,,,,,0.0,,,,,,,2.0,13.0,0.0,0.0,,,,,,,,,
8.0,CLE,G,K.Zeitler,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,DE,D.Hunter,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,CLE,LB,N.Orchard,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,OLB,K.Brothers,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,DT,S.Stephen,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,DT,L.Joseph,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,OLB,A.Barr,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,CB,T.Newman,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,CLE,TE,S.DeValve,,,,,,,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,
8.0,CLE,DT,T.McGill,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,CLE,DEF,D.Vitale,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,CLE,LS,C.Hughlett,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIN,CB,M.Alexander,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,CLE,WR,R.Higgins,,,,,,,,,,0.0,,,,,,,1.0,14.0,0.0,0.0,,,,,,,,,
8.0,OAK,RB,J.Richard,,,,,,,,,,0.0,,,,,,,5.0,35.0,0.0,0.0,21.0,0.0,0.0,1.0,,,,,
8.0,BUF,K,S.Hauschka,,,,,,,,,,0.0,79.0,4.0,,,,,,,,,,,,,,,,,
8.0,OAK,TE,J.Cook,,,,,,,,,,0.0,,,,,,,4.0,57.0,0.0,0.0,,,,,,,,,
8.0,OAK,QB,D.Carr,,,,,,,,,,0.0,,,313.0,0.0,2.0,1.0,,,,,,,,,,,,,
8.0,BUF,DEF,T.Elston,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,OAK,WR,A.Cooper,,,,,,,,,,0.0,,,,,,,5.0,48.0,0.0,0.0,4.0,0.0,0.0,,,,,,
8.0,BUF,DEF,T.White,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BUF,MLB,P.Brown,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BUF,,L.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BUF,DE,J.Hughes,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BUF,CB,S.Wright,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,OAK,WR,M.Crabtree,,,,,,,,,,0.0,,,,,,,5.0,83.0,0.0,0.0,,,,,,,,,
8.0,OAK,RB,J.Olawale,,,,,,,,,,0.0,,,,,,,,,,,3.0,1.0,0.0,0.0,,,,,
8.0,BUF,LB,L.Alexander,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,OAK,TE,L.Smith,,,,,,,,,,0.0,,,,,,,1.0,21.0,0.0,0.0,,,,,,,,,
8.0,OAK,,G.Tavecchio,,,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,
8.0,BUF,WR,Z.Jones,,,,,,,,,,0.0,,,,,,,3.0,32.0,0.0,0.0,,,,,,,,,
8.0,OAK,OLB,C.James,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BUF,QB,T.Taylor,,,,,,,,,,0.0,,,165.0,0.0,0.0,1.0,,,,,1.0,1.0,0.0,,,,,,
8.0,OAK,DE,K.Mack,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BUF,RB,L.McCoy,,,,,,,,,,0.0,,,,,,,6.0,22.0,0.0,0.0,151.0,1.0,0.0,,,,,,
8.0,OAK,LB,B.Irvin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,OAK,DB,S.Smith,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BUF,OT,J.Mills,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,OAK,CB,D.McDonald,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BUF,,L.Thomas,,,,,,,,,,0.0,,,,,,,1.0,7.0,0.0,0.0,,,,,,,,,
8.0,OAK,ILB,N.Bowman,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
