week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,receiving_rec,rushing_yds,receiving_yds,receiving_tds,rushing_tds,receiving_twoptm,rushing_twoptm,passing_yds,passing_twoptm,passing_ints,passing_tds,fumbles_lost
2.0,CIN,CB,D.Dennard,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,WR,A.Erickson,,,,,,,,,,0.0,,,4.0,2.0,62.0,0.0,0.0,0.0,0.0,,,,,
2.0,CIN,RB,J.Ross,,,,,,,,,,0.0,,,,12.0,,,0.0,,0.0,,,,,1.0
2.0,CIN,SS,G.Iloka,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,HOU,WR,E.Baylis,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,HOU,K,K.Fairbairn,,,,,,,,,,0.0,68.0,1.0,,,,,,,,,,,,
2.0,HOU,LB,B.Peters,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,HOU,CB,J.Joseph,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,WR,B.LaFell,,,,,,,,,,0.0,,,4.0,,30.0,0.0,,0.0,,,,,,
2.0,HOU,ILB,B.McKinney,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,DE,C.Dunlap,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,HOU,DT,C.Covington,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,CB,W.Jackson,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,DEF,J.Willis,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,MLB,K.Minter,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,HOU,RB,J.Todman,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,TE,T.Eifert,,,,,,,,,,0.0,,,3.0,,42.0,0.0,,0.0,,,,,,
2.0,CIN,FS,D.Smith,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,HOU,DT,J.Heath,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,HOU,FS,A.Hal,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,HOU,FS,M.Gilchrist,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,HOU,DB,E.Pleasant,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,LS,C.Harris,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,TE,R.Hewitt,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,HOU,T,C.Clark,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,WR,C.Lawson,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,HOU,WR,J.Strong,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,OT,J.Fisher,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,HOU,WR,J.Davenport,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,C,R.Bodine,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,
2.0,BAL,K,J.Tucker,,,,,,,,,,0.0,28.0,3.0,,,,,,,,,,,,
2.0,BAL,CB,L.Webb,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CLE,RB,I.Crowell,,,,,,,,,,0.0,,,,37.0,,,0.0,,0.0,,,,,
2.0,BAL,NT,B.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CLE,QB,D.Kizer,,,,,,,,,,0.0,,,,26.0,,,0.0,,0.0,182.0,0.0,3.0,0.0,1.0
2.0,CLE,WR,C.Coleman,,,,,,,,,,0.0,,,1.0,,9.0,0.0,,0.0,,,,,,
2.0,BAL,OLB,T.Suggs,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CLE,P,B.Colquitt,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CLE,OLB,J.Collins,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BAL,RB,T.West,,,,,,,,,,0.0,,,2.0,22.0,23.0,0.0,1.0,0.0,0.0,,,,,
2.0,BAL,WR,J.Maclin,,,,,,,,,,0.0,,,4.0,,31.0,1.0,,0.0,,,,,,
2.0,BAL,QB,J.Flacco,,,,,,,,,,0.0,,,,-1.0,,,0.0,,0.0,217.0,0.0,1.0,2.0,
2.0,CLE,DB,J.Taylor,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BAL,TE,B.Watson,,,,,,,,,,0.0,,,8.0,,91.0,0.0,,0.0,,,,,,
2.0,CLE,DEF,T.Coley,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2.0,BAL,WR,B.Perriman,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CLE,ILB,C.Kirksey,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CLE,DEF,J.Peppers,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BAL,P,S.Koch,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BAL,DB,E.Weddle,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BAL,DT,M.Pierce,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CLE,TE,R.Telfer,,,,,,,,,,0.0,,,1.0,,20.0,0.0,,0.0,,,,,,
2.0,BAL,SS,T.Jefferson,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CLE,WR,K.Britt,,,,,,,,,,0.0,,,1.0,,2.0,0.0,,0.0,,,,,,
2.0,BAL,ILB,C.Mosley,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CLE,WR,S.Coates,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BAL,LB,M.Judon,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2.0,CLE,OT,S.Coleman,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BAL,WR,M.Wallace,,,,,,,,,,0.0,,,1.0,,7.0,0.0,,0.0,,,,,,
2.0,CLE,OLB,J.Schobert,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BAL,RB,J.Allen,,,,,,,,,,0.0,,,5.0,66.0,35.0,1.0,0.0,0.0,0.0,,,,,
2.0,BAL,TE,N.Boyle,,,,,,,,,,0.0,,,1.0,,9.0,0.0,,0.0,,,,,,
2.0,BAL,TE,M.Williams,,,,,,,,,,0.0,,,4.0,2.0,21.0,0.0,0.0,0.0,0.0,,,,,
2.0,BAL,LB,K.Correa,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BAL,CB,B.Carr,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CLE,WR,R.Higgins,,,,,,,,,,0.0,,,7.0,4.0,95.0,0.0,0.0,0.0,0.0,,,,,
2.0,CLE,RB,D.Johnson,,,,,,,,,,0.0,,,3.0,21.0,59.0,0.0,0.0,0.0,0.0,,,,,
2.0,CLE,WR,D.Njoku,,,,,,,,,,0.0,,,3.0,,27.0,1.0,,0.0,,,,,,
2.0,CLE,FS,D.Kindred,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CLE,CB,B.Boddy-Calhoun,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BAL,WR,M.Campanaro,,,,,,,,,,0.0,,,,5.0,,,0.0,,0.0,,,,,
2.0,CLE,CB,J.McCourty,,,,,,,,,,0.0,,,,,,,,,,,,,,
