week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,receiving_tds,receiving_rec,rushing_yds,receiving_yds,rushing_tds,receiving_twoptm,rushing_twoptm,passing_yds,passing_tds,passing_twoptm,passing_ints,fumbles_lost,defense_safe,defense_xpblk,fumbles_rec_tds,defense_fgblk
17.0,CAR,K,G.Gano,,,,,,,,,,0.0,42.0,1.0,,,,,,,,,,,,,,,,
17.0,CAR,DE,M.Addison,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,RB,D.Freeman,,,,,,,,,,0.0,,,1.0,9.0,23.0,85.0,0.0,0.0,0.0,,,,,,,,,
17.0,ATL,WR,Ju.Jones,,,,,,,,,,0.0,,,0.0,5.0,,80.0,,0.0,,,,,,,,,,
17.0,ATL,QB,M.Ryan,,,,,,,,,,0.0,,,,,14.0,,0.0,,0.0,317.0,1.0,0.0,0.0,,,,,
17.0,CAR,CB,C.Munnerlyn,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,SS,M.Adams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,OLB,T.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,WR,M.Sanu,,,,,,,,,,0.0,,,0.0,7.0,0.0,71.0,0.0,0.0,0.0,,,,,,,,,
17.0,CAR,CB,D.Worley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,RB,T.Coleman,,,,,,,,,,0.0,,,0.0,2.0,23.0,14.0,0.0,0.0,0.0,,,,,,,,,
17.0,CAR,,W.Horton,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,DT,V.Butler,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,K,M.Bryant,,,,,,,,,,0.0,191.0,1.0,,,,,,,,,,,,,,,,
17.0,ATL,P,M.Bosher,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,TE,E.Dickson,,,,,,,,,,0.0,,,0.0,2.0,,22.0,,0.0,,,,,,,,,,
17.0,CAR,QB,C.Newton,,,,,,,,,,0.0,,,,,59.0,,0.0,,0.0,180.0,1.0,0.0,3.0,0.0,,,,
17.0,CAR,WR,K.Clay,,,,,,,,,,0.0,,,0.0,1.0,-2.0,15.0,0.0,0.0,0.0,,,,,,,,,
17.0,ATL,CB,D.Trufant,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,WR,C.McCaffrey,,,,,,,,,,0.0,,,0.0,5.0,14.0,40.0,0.0,0.0,0.0,,,,,,,,,
17.0,ATL,DB,B.Poole,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,WR,A.Roberts,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,P,M.Palardy,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,WR,T.Gabriel,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,CB,J.Bradberry,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,OLB,S.Thompson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,MLB,L.Kuechly,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,SS,K.Neal,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,DT,A.Rubin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,OLB,D.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,SS,K.Ishmael,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,CB,R.Alford,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,WR,D.Funchess,,,,,,,,,,0.0,,,1.0,2.0,,48.0,,0.0,,,,,,,,,,
17.0,CAR,,K.Love,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,WR,B.Cox,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,DEF,T.McKinley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,RB,C.Artis-Payne,,,,,,,,,,0.0,,,,,16.0,,0.0,,0.0,,,,,0.0,,,,
17.0,ATL,DT,C.Upshaw,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,TE,G.Olsen,,,,,,,,,,0.0,,,0.0,1.0,,10.0,,0.0,,,,,,,,,,
17.0,CAR,,B.Jacobs,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,LB,L.Reynolds,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,WR,D.Kazee,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,NT,D.Poe,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,RB,F.Whittaker,,,,,,,,,,0.0,,,0.0,1.0,0.0,9.0,0.0,0.0,0.0,,,,,,,,,
17.0,ATL,OLB,D.Campbell,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,DB,C.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,OLB,J.Peppers,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,DEF,D.Riley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,DE,B.Reed,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,DT,G.Jarrett,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,DE,D.Shelby,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,WR,B.Bersin,,,,,,,,,,0.0,,,0.0,2.0,,36.0,,0.0,,,,,,,,,,
17.0,ATL,TE,A.Hooper,,,,,,,,,,0.0,,,0.0,3.0,,35.0,,0.0,,,,,,,,,,
17.0,CAR,DT,K.Short,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,WR,R.Shepard,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,T,R.Schraeder,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
