week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_xpmade,kicking_fgm_yds,receiving_yds,receiving_rec,receiving_tds,receiving_twoptm,fumbles_lost,passing_yds,rushing_yds,passing_tds,passing_twoptm,rushing_tds,passing_ints,rushing_twoptm,defense_xpblk,defense_fgblk,fumbles_rec_tds
12.0,MIN,RB,J.McKinnon,,,,,,,,,,0.0,,,31.0,1.0,0.0,0.0,,,23.0,,,0.0,,0.0,,,
12.0,DET,DT,A.Zettel,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DET,CB,N.Lawson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DET,DT,A.Robinson,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,
12.0,MIN,SS,A.Sendejo,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,MIN,DT,L.Joseph,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,MIN,DE,D.Hunter,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,
12.0,DET,DE,C.Washington,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DET,RB,T.Riddick,,,,,,,,,,0.0,,,10.0,1.0,0.0,0.0,,,20.0,,,0.0,,0.0,,,
12.0,DET,T,R.Wagner,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DET,WR,G.Tate,,,,,,,,,,0.0,,,7.0,4.0,0.0,0.0,,,13.0,,,0.0,,0.0,,,
12.0,DET,TE,D.Fells,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DET,DE,C.Ringo,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DET,DB,T.Wilson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,MIN,C,J.Berger,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,MIN,,R.Quigley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,MIN,FS,H.Smith,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,MIN,DT,T.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,MIN,DE,E.Griffen,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DET,K,M.Prater,,,,,,,,,,0.0,2.0,114.0,,,,,,,,,,,,,,,
12.0,MIN,WR,S.Weatherly,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DET,LB,N.Bellore,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DET,CB,Q.Diggs,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,MIN,WR,J.Wright,,,,,,,,,,0.0,,,25.0,2.0,0.0,0.0,,,,,,,,,,,
12.0,DET,CB,D.Hayden,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DET,WR,J.Ledbetter,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1.0,
12.0,DET,WR,K.Golladay,,,,,,,,,,0.0,,,61.0,2.0,0.0,0.0,,,,,,,,,,,
12.0,DET,SS,M.Killebrew,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DET,DE,E.Ansah,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DET,FB,Z.Zenner,,,,,,,,,,0.0,,,,,,,,,6.0,,,0.0,,0.0,,,
12.0,MIN,CB,T.Brock,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DET,FS,G.Quin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,MIN,DEF,C.Ham,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,MIN,WR,M.Floyd,,,,,,,,,,0.0,,,8.0,1.0,0.0,0.0,,,,,,,,,,,
